latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,rank
43.4,3.1,tp_rollingmax,0.95,0.0976021054486546,0.15,pei_90,2018-0375-FRA,FRA,Flood,2018-10-14,2018-10-15,117,40,pei_90,tp_rollingmax,2018,0.0,1.12145390070922,86.7313829787234,5.806737588652482,1.9078014184397163,3.004432624113475,1.428191489361702,4.0
39.7,-8.8,tp_rollingmax,0.95,0.0296978469624987,0.15,pei_90,2018-0376-PRT,PRT,Storm,2018-10-14,2018-10-16,409,40,pei_90,tp_rollingmax,2018,0.0,10.880597014925373,57.15764925373134,21.486940298507463,0.8479477611940298,9.626865671641792,0.0,4.0
36.8,50.8,tp_rollingmax,0.95,0.1254219359089157,0.15,pei_90,2018-0383-IRN,IRN,Flood,2018-10-05,2018-10-06,118,40,pei_90,tp_rollingmax,2018,0.5859375,0.1650390625,68.5537109375,17.74609375,0.0,12.94921875,0.0,4.0
44.9,39.6,tp_rollingmax,0.95,0.0774531237336849,0.15,pei_90,2018-0407-RUS,RUS,Flood,2018-10-24,2018-10-26,123,40,pei_90,tp_rollingmax,2018,0.0,0.0,82.21342512908778,4.697934595524957,0.0,13.086919104991392,0.0017211703958691,4.0
-23.1,-68.5,tp_rollingmax,0.95,0.0505297012431955,0.15,pei_30,2019-0091-CHL,CHL,Flood,2019-02-01,2019-02-10,131,40,pei_30,tp_rollingmax,2019,9.174107142857142,0.0,0.0,76.46875,14.357142857142858,0.0,0.0,4.0
-21.9,30.9,tp_rollingmax,0.95,0.068643292877418,0.15,pei_90,2019-0094-ZWE,ZWE,Flood,2019-02-11,2019-02-18,132,40,pei_90,tp_rollingmax,2019,0.0,0.0,0.5397727272727273,28.36704545454545,66.5409090909091,4.552272727272728,0.0,4.0
10.4,24.5,tp_rollingmax,0.95,0.0337836455027951,0.15,pei_90,2019-0280-SDN,SDN,Flood,2019-06-08,2019-06-18,142,40,pei_90,tp_rollingmax,2019,0.0,0.0,7.719951923076923,36.89663461538461,53.99519230769231,1.3882211538461535,0.0,4.0
4.7,33.5,tp_rollingmax,0.95,0.03218666957582,0.15,pei_90,2019-0285-SSD,SSD,Flood,2019-06-05,2019-06-07,143,40,pei_90,tp_rollingmax,2019,0.0,0.0,1.9536585365853656,71.64756097560975,19.264634146341464,7.134146341463414,0.0,4.0
18.6,73.7,tp_rollingmax,0.95,0.1036386678958378,0.15,pei_90,2019-0288-IND,IND,Flood,2019-06-28,2019-07-04,144,40,pei_90,tp_rollingmax,2019,0.0,6.010321100917431,77.9197247706422,14.652522935779816,0.1892201834862385,0.5378440366972477,0.6903669724770642,4.0
17.9,73.1,tp_rollingmax,0.95,0.0407482349621032,0.15,pei_30,2019-0321-IND,IND,Storm,2019-06-06,2019-06-14,413,40,pei_30,tp_rollingmax,2019,0.0,0.0,51.59562211981567,36.36175115207373,0.0783410138248847,3.737327188940092,8.226958525345623,4.0
